geo_id,state_id,county_id,county_name,industry_agriculture_forestry_fishing_and_hunting_and_mining,industry_construction,industry_manufacturing,industry_wholesale_trade,industry_retail_trade,industry_transportation_and_warehousing_and_utilities,industry_information,industry_finance_and_insurance_real_estate_and_rental_and_leasing,industry_professional_scientific_management_administrative_and_waste_management_services,industry_educational_services_health_care_and_social_assistance,industry_arts_entertainment_recreation_accommodation_and_food_services,industry_other_services_except_public_administration,industry_public_administration
0500000US18039,18,039,Elkhart County,855,4227,34599,2410,9982,3766,954,3010,5675,16617,6989,4982,2090
0500000US18025,18,025,Crawford County,152,329,1057,50,451,280,79,105,221,891,476,110,160
0500000US18017,18,017,Cass County,380,1076,5421,281,1707,792,195,487,831,3846,797,433,852
0500000US18097,18,097,Marion County,1008,25605,48755,14228,57856,33268,8380,30147,54466,98758,45861,21066,17662
0500000US18021,18,021,Clay County,311,686,3080,229,1326,621,109,452,655,2704,806,510,729
0500000US18063,18,063,Hendricks County,406,5042,10901,2521,9321,7314,1396,4880,8051,20354,5951,4919,3047
0500000US18047,18,047,Franklin County,307,819,2870,193,1139,652,181,415,742,2131,490,694,447
0500000US18053,18,053,Grant County,312,1089,5168,468,3541,1789,524,1048,1291,9016,2483,1366,957
0500000US18071,18,071,Jackson County,690,1174,6206,576,2524,950,111,697,1042,3404,1501,927,731
0500000US18067,18,067,Howard County,393,1714,10016,560,3731,1155,536,1557,2884,7862,3692,1569,1229
0500000US18119,18,119,Owen County,265,1120,2292,219,778,510,194,349,559,1658,609,559,299
0500000US18135,18,135,Randolph County,714,765,2779,233,1171,503,167,397,466,2597,627,389,463
0500000US18183,18,183,Whitley County,205,1318,4744,348,1827,677,247,577,1229,3424,800,1034,546
0500000US18013,18,013,Brown County,24,853,1343,157,1029,265,80,334,250,1301,735,411,240
0500000US18023,18,023,Clinton County,546,1193,4166,494,1394,820,295,409,971,2864,997,583,397
0500000US18161,18,161,Union County,133,96,481,69,463,267,61,122,206,894,317,140,119
0500000US18027,18,027,Daviess County,991,1585,3057,297,1454,905,164,383,663,2612,1140,389,873
0500000US18029,18,029,Dearborn County,166,2177,4169,488,2956,1736,333,1452,1773,5258,2368,974,940
0500000US18083,18,083,Knox County,1261,693,2803,512,1995,1031,280,687,1052,4238,1777,755,984
0500000US18093,18,093,Lawrence County,380,1220,4117,314,2596,940,189,1127,1312,4409,1456,798,1602
0500000US18123,18,123,Perry County,216,501,2728,67,666,307,107,253,468,1806,792,181,259
0500000US18131,18,131,Pulaski County,389,369,1628,131,493,251,40,198,226,1130,302,270,109
0500000US18129,18,129,Posey County,361,895,2587,365,1075,886,80,517,938,2789,723,782,400
0500000US18171,18,171,Warren County,232,319,964,180,356,221,38,118,132,880,227,203,78
0500000US18165,18,165,Vermillion County,209,474,1431,173,775,458,71,236,407,1408,374,241,292
0500000US18003,18,003,Allen County,869,9946,32511,5890,20758,7974,3568,11662,15061,40728,17139,9120,3876
0500000US18031,18,031,Decatur County,570,746,4186,317,1324,375,93,452,914,2286,1056,441,361
0500000US18043,18,043,Floyd County,164,2396,6203,948,4403,2481,471,2900,2941,8942,3571,1788,1403
0500000US18079,18,079,Jennings County,319,975,3597,260,1778,808,110,239,784,2569,883,406,497
0500000US18081,18,081,Johnson County,361,5209,12468,2100,8054,3935,1252,5072,7337,17364,5786,3823,3636
0500000US18109,18,109,Morgan County,376,3163,4635,843,3960,2690,298,1866,2784,6929,2599,1566,1319
0500000US18051,18,051,Gibson County,774,823,4517,417,1653,1100,157,581,912,3172,1085,680,410
0500000US18117,18,117,Orange County,316,791,2102,158,820,261,71,196,256,1492,1446,215,300
0500000US18085,18,085,Kosciusko County,971,2129,15599,623,3424,1057,601,1437,1718,6815,2445,1833,613
0500000US18099,18,099,Marshall County,506,1114,7186,388,2091,929,239,832,1113,4143,1418,985,421
0500000US18163,18,163,Vanderburgh County,706,4728,15594,2406,10480,4298,1822,4674,7417,19954,9232,4007,2277
0500000US18009,18,009,Blackford County,114,204,1606,81,531,290,77,154,289,1275,240,292,195
0500000US18143,18,143,Scott County,286,578,3024,200,1434,658,10,190,557,1979,523,332,233
0500000US18061,18,061,Harrison County,136,1619,3494,390,1975,1055,257,960,870,4059,1689,671,590
0500000US18091,18,091,LaPorte County,561,2920,10342,598,5527,2706,456,1662,3662,9696,4873,2435,1568
0500000US18169,18,169,Wabash County,606,792,3635,374,1523,578,88,488,868,3450,1255,684,472
0500000US18073,18,073,Jasper County,686,1586,2999,375,2169,1068,274,589,700,2874,1084,713,376
0500000US18101,18,101,Martin County,240,250,894,47,510,379,87,65,323,881,300,229,500
0500000US18127,18,127,Porter County,479,5674,14090,1781,8196,4670,1138,3801,7039,20039,7231,3634,2417
0500000US18145,18,145,Shelby County,528,1666,5088,583,1884,1104,300,1027,1467,4586,1733,1123,1069
0500000US18137,18,137,Ripley County,337,1237,3340,98,1300,1053,83,642,780,2737,1251,621,405
0500000US18147,18,147,Spencer County,555,694,2536,343,750,840,125,318,563,1779,728,443,273
0500000US18153,18,153,Sullivan County,677,588,1303,157,850,610,58,215,414,1846,640,318,610
0500000US18159,18,159,Tipton County,432,467,1970,54,465,264,78,266,457,1597,602,338,460
0500000US18157,18,157,Tippecanoe County,1005,4306,16308,1600,10163,2494,1164,3491,7475,30496,10177,3396,2210
0500000US18167,18,167,Vigo County,475,2236,7220,976,5659,2049,754,1985,3079,13834,5637,2475,2186
0500000US18173,18,173,Warrick County,557,2155,5581,1009,3447,1627,480,1623,2686,8006,2145,1480,774
0500000US18057,18,057,Hamilton County,986,7166,19678,6219,16799,4957,4053,18077,24826,38740,14775,7834,4639
0500000US18033,18,033,DeKalb County,388,1317,7550,352,2280,920,355,925,1064,3477,1494,769,483
0500000US18087,18,087,LaGrange County,638,847,8119,280,1675,430,123,317,751,1934,940,598,254
0500000US18005,18,005,Bartholomew County,237,2087,13361,653,4179,1001,256,1477,3122,7977,3464,1265,1113
0500000US18139,18,139,Rush County,266,571,2019,122,749,422,37,355,619,1220,559,237,264
0500000US18011,18,011,Boone County,427,2350,4708,1310,2983,1823,887,2168,4513,7847,2325,1315,1033
0500000US18049,18,049,Fulton County,368,572,2708,325,1272,508,129,431,367,1571,466,451,389
