geo_id,state_id,county_id,county_name,race_total_population,race_hispanic_or_latino,race_not_hispanic_or_latino,race_american_indian_and_alaska_native,race_asian,race_black_or_african_american,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,race_two_or_more,race_two_or_more_excluding_some_ther_and_three_or_more,race_two_or_more_including_some_other,race_white_alone
0500000US40143,40,143,Tulsa County,642781,80012,562769,29072,20209,63780,536,1521,46081,45655,426,401570
0500000US40017,40,017,Canadian County,136710,11788,124922,5183,4042,3677,4,380,6806,6594,212,104830
0500000US40057,40,057,Harmon County,2721,778,1943,11,20,238,0,0,98,98,0,1576
0500000US40077,40,077,Latimer County,10495,376,10119,2098,76,101,0,4,961,961,0,6879
0500000US40113,40,113,Osage County,47311,1668,45643,6012,183,5322,12,0,4047,4035,12,30067
0500000US40139,40,139,Texas County,21121,9564,11557,102,651,910,9,12,398,349,49,9475
0500000US40127,40,127,Pushmataha County,11119,415,10704,1416,54,98,12,0,1172,1165,7,7952
0500000US40047,40,047,Garfield County,62190,7557,54633,1108,582,2529,609,0,3112,3078,34,46693
0500000US40069,40,069,Johnston County,11041,576,10465,707,8,206,0,0,1844,1817,27,7700
0500000US40121,40,121,Pittsburg County,44382,2200,42182,2841,164,1284,46,22,6911,6911,0,30914
0500000US40129,40,129,Roger Mills County,3708,261,3447,101,0,17,0,0,218,218,0,3111
0500000US40153,40,153,Woodward County,20967,2619,18348,272,38,286,4,0,915,915,0,16833
0500000US40021,40,021,Cherokee County,48599,3424,45175,16059,299,634,106,6,4806,4786,20,23265
0500000US40041,40,041,Delaware County,42112,1567,40545,9446,510,144,33,1,3469,3438,31,26942
0500000US40045,40,045,Ellis County,4072,296,3776,58,33,9,0,0,148,121,27,3528
0500000US40051,40,051,Grady County,54733,3127,51606,2454,219,1215,0,16,2988,2985,3,44714
0500000US40119,40,119,Payne County,81512,3820,77692,3603,3596,3230,69,46,4391,4351,40,62757
0500000US40125,40,125,Pottawatomie County,72000,3647,68353,9999,502,2388,47,15,3085,3062,23,52317
0500000US40037,40,037,Creek County,71160,2869,68291,7969,386,1513,40,115,3960,3956,4,54308
0500000US40141,40,141,Tillman County,7515,1986,5529,188,1,607,4,0,232,232,0,4497
0500000US40149,40,149,Washita County,11432,1125,10307,141,24,131,0,0,465,465,0,9546
0500000US40033,40,033,Cotton County,5929,453,5476,518,0,131,0,0,301,301,0,4526
0500000US40075,40,075,Kiowa County,9001,1039,7962,383,69,314,6,0,481,481,0,6709
0500000US40079,40,079,Le Flore County,49909,3452,46457,5248,257,1034,0,14,4144,4112,32,35760
0500000US40089,40,089,McCurtain County,32966,1934,31032,4278,222,2613,286,0,2960,2952,8,20673
0500000US40093,40,093,Major County,7718,723,6995,131,43,27,10,0,210,210,0,6574
0500000US40097,40,097,Mayes County,40980,1422,39558,6808,160,193,98,21,5594,5587,7,26684
0500000US40109,40,109,Oklahoma County,782051,133943,648108,18985,26362,116092,532,1384,43972,43305,667,440781
0500000US40039,40,039,Custer County,29209,5259,23950,784,329,927,10,0,1863,1849,14,20037
0500000US40007,40,007,Beaver County,5415,1245,4170,100,0,14,0,0,94,94,0,3962
0500000US40085,40,085,Love County,9933,1507,8426,523,78,253,0,0,454,454,0,7118
0500000US40009,40,009,Beckham County,22621,3273,19348,414,180,853,8,39,786,778,8,17068
0500000US40023,40,023,Choctaw County,14886,627,14259,2247,2,1661,22,21,1219,1216,3,9087
0500000US40065,40,065,Jackson County,25384,6035,19349,389,327,1666,20,17,941,896,45,15989
0500000US40081,40,081,Lincoln County,34854,1166,33688,2603,106,626,29,22,1539,1514,25,28763
0500000US41047,41,047,Marion County,335553,88282,247271,1823,6672,3888,2989,326,10765,10151,614,220808
0500000US41029,41,029,Jackson County,214267,26868,187399,1857,2690,1266,712,320,6463,6362,101,174091
0500000US41023,41,023,Grant County,7183,263,6920,97,31,22,6,2,184,184,0,6578
0500000US41031,41,031,Jefferson County,23143,4622,18521,3698,138,203,18,8,522,517,5,13934
0500000US41005,41,005,Clackamas County,405788,34659,371129,2468,16784,3478,1065,545,12783,12683,100,334006
