type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more,Total Pop,id,County Name
county,6115,acfosw,U,N,100,336,27940,26220,572,55068,06115,Yuba County
county,6001,a,R,N,100,12115,1509,0,0,13624,06001,Alameda County
county,6001,a,U,N,100,638675,1015004,4026,0,1657705,06001,Alameda County
county,6003,a,R,N,100,962,0,0,0,962,06003,Alpine County
county,6003,a,R,T,100,167,0,0,0,167,06003,Alpine County
county,6005,a,R,N,100,24970,0,0,0,24970,06005,Amador County
county,6005,a,R,T,100,13,0,0,0,13,06005,Amador County
county,6005,a,U,N,100,14768,0,0,0,14768,06005,Amador County
county,6007,a,R,N,100,46639,0,0,0,46639,06007,Butte County
county,6007,a,R,T,100,52,0,0,0,52,06007,Butte County
county,6007,a,U,N,100,169093,0,0,0,169093,06007,Butte County
county,6007,a,U,T,100,3402,0,0,0,3402,06007,Butte County
county,6009,a,R,N,100,30140,4720,0,0,34860,06009,Calaveras County
county,6009,a,U,N,100,9903,1142,0,0,11045,06009,Calaveras County
county,6011,a,R,N,100,7086,0,0,0,7086,06011,Colusa County
county,6011,a,R,T,100,99,0,0,0,99,06011,Colusa County
county,6011,a,U,N,100,14362,0,0,0,14362,06011,Colusa County
county,6013,a,R,N,100,19190,796,0,0,19986,06013,Contra Costa County
county,6013,a,U,N,100,526694,606840,0,0,1133534,06013,Contra Costa County
county,6013,a,U,T,100,2,0,0,0,2,06013,Contra Costa County
county,6015,a,R,N,100,8382,0,0,0,8382,06015,Del Norte County
county,6015,a,R,T,100,996,0,0,0,996,06015,Del Norte County
county,6015,a,U,N,100,18348,0,0,0,18348,06015,Del Norte County
county,6015,a,U,T,100,86,0,0,0,86,06015,Del Norte County
county,6017,a,R,N,100,67664,2463,0,0,70127,06017,El Dorado County
county,6017,a,R,T,100,109,0,0,0,109,06017,El Dorado County
county,6017,a,U,N,100,93085,29520,0,0,122605,06017,El Dorado County
county,6019,a,R,N,100,129321,2070,0,0,131391,06019,Fresno County
county,6019,a,R,T,100,441,0,0,0,441,06019,Fresno County
county,6019,a,U,N,100,581220,286042,0,0,867262,06019,Fresno County
county,6021,a,R,N,100,11716,0,0,0,11716,06021,Glenn County
county,6021,a,R,T,100,165,0,0,0,165,06021,Glenn County
county,6021,a,U,N,100,16512,0,0,0,16512,06021,Glenn County
county,6023,a,R,N,100,37592,0,0,0,37592,06023,Humboldt County
county,6023,a,R,T,100,4051,0,0,0,4051,06023,Humboldt County
county,6023,a,U,N,100,93833,0,0,0,93833,06023,Humboldt County
county,6023,a,U,T,100,82,0,0,0,82,06023,Humboldt County
county,6025,a,R,N,100,34272,18,0,0,34290,06025,Imperial County
county,6025,a,R,T,100,1898,99,0,0,1997,06025,Imperial County
county,6025,a,U,N,100,143997,388,0,0,144385,06025,Imperial County
county,6025,a,U,T,100,470,73,0,0,543,06025,Imperial County
county,6027,a,R,N,100,7613,0,0,0,7613,06027,Inyo County
county,6027,a,R,T,100,823,0,0,0,823,06027,Inyo County
county,6027,a,U,N,100,8071,21,0,0,8092,06027,Inyo County
county,6027,a,U,T,100,1511,0,0,0,1511,06027,Inyo County
county,6029,a,R,N,100,128488,403,0,0,128891,06029,Kern County
county,6029,a,U,N,100,509288,262018,0,0,771306,06029,Kern County
county,6031,a,R,N,100,17809,59,0,0,17868,06031,Kings County
county,6031,a,R,T,100,668,0,0,0,668,06031,Kings County
county,6031,a,U,N,100,108380,26013,0,0,134393,06031,Kings County
county,6033,a,R,N,100,21581,0,0,0,21581,06033,Lake County
county,6033,a,R,T,100,375,0,0,0,375,06033,Lake County
county,6033,a,U,N,100,42249,0,0,0,42249,06033,Lake County
county,6033,a,U,T,100,181,0,0,0,181,06033,Lake County
county,6035,a,R,N,100,20059,0,0,0,20059,06035,Lassen County
county,6035,a,R,T,100,390,0,0,0,390,06035,Lassen County
county,6035,a,U,N,100,9965,0,0,0,9965,06035,Lassen County
county,6035,a,U,T,100,159,0,0,0,159,06035,Lassen County
county,6037,a,R,N,100,84010,7101,0,0,91111,06037,Los Angeles County
county,6037,a,U,N,100,7055591,2892405,0,0,9947996,06037,Los Angeles County
county,6039,a,R,N,100,54373,450,0,0,54823,06039,Madera County
county,6039,a,R,T,100,142,0,0,0,142,06039,Madera County
county,6039,a,U,N,100,72324,30038,0,0,102362,06039,Madera County
county,6041,a,R,N,100,15068,2781,0,0,17849,06041,Marin County
