type,id,tech,urban_rural,tribal_non,speed,has_0,has_1,has_2,has_3more
county,05049,acfosw,U,N,0.2,0,0,0,871
county,05051,acfosw,R,N,0.2,0,1,0,37274
county,05051,acfosw,U,N,0.2,0,0,0,62111
county,05053,acfosw,R,N,0.2,0,0,0,13782
county,05053,acfosw,U,N,0.2,0,0,0,4483
county,05055,acfosw,R,N,0.2,0,1,1,19811
county,05055,acfosw,U,N,0.2,0,0,0,25512
county,05057,acfosw,R,N,0.2,0,0,0,12407
county,05057,acfosw,U,N,0.2,0,0,0,9125
county,05059,acfosw,R,N,0.2,0,0,0,22448
county,05059,acfosw,U,N,0.2,0,0,0,11323
county,05061,acfosw,R,N,0.2,0,0,0,9192
county,05061,acfosw,U,N,0.2,0,0,0,4010
county,05063,acfosw,R,N,0.2,0,0,0,26118
county,05063,acfosw,U,N,0.2,0,0,0,11706
county,05065,acfosw,R,N,0.2,0,0,0,13629
county,05067,acfosw,R,N,0.2,0,0,0,11011
county,05067,acfosw,U,N,0.2,0,0,0,5708
county,05069,acfosw,R,N,0.2,0,0,0,20075
county,05069,acfosw,U,N,0.2,0,0,0,46749
county,05071,acfosw,R,N,0.2,0,0,0,19713
county,05071,acfosw,U,N,0.2,0,0,0,6865
county,05073,acfosw,R,N,0.2,0,0,0,6624
county,05075,acfosw,R,N,0.2,0,0,0,10416
county,05075,acfosw,U,N,0.2,0,0,0,5990
county,05077,acfosw,R,N,0.2,0,0,0,5620
county,05077,acfosw,U,N,0.2,0,0,0,3237
county,05079,acfosw,R,N,0.2,0,0,0,13024
county,05081,acfosw,R,N,0.2,0,0,0,8618
county,05081,acfosw,U,N,0.2,0,0,0,3641
county,05083,acfosw,R,N,0.2,0,0,0,15145
county,05083,acfosw,U,N,0.2,0,0,0,6321
county,05085,acfosw,R,N,0.2,0,1,0,34159
county,05085,acfosw,U,N,0.2,0,0,0,39149
county,05087,acfosw,R,N,0.2,0,1,0,16575
county,05089,acfosw,R,N,0.2,0,0,0,16694
county,05091,acfosw,R,N,0.2,0,1,0,17787
county,05091,acfosw,U,N,0.2,0,0,0,25469
