geo_id,dl_speed,has_0,has_1,has_2,has_3more,has_access,total_pop,urban_pop,rural_pop,total_access_pop_percent,urban_access_pop_percent,rural_access_pop_percent
0500000US01097,100.0,35412,122351,202889,52558,377798,413210,329932,83278,0.914300234747465,0.9648533637234339,0.7140181080237278
0500000US01097,250.0,39990,179903,159222,34095,373220,413210,329932,83278,0.9032211224316933,0.9595583332323024,0.6800235356276567
0500000US01097,1000.0,245580,167630,0,0,167630,413210,329932,83278,0.4056775005445173,0.4780530533564492,0.11893897547971853
0500000US01099,25.0,0,0,2147,18586,20733,20733,4035,16698,1.0,1.0,1.0
0500000US01099,100.0,10153,10580,0,0,10580,20733,4035,16698,0.510297593208894,0.9796778190830235,0.3968738771110313
0500000US01099,250.0,10260,10473,0,0,10473,20733,4035,16698,0.5051367385327739,0.9796778190830235,0.390465924062762
0500000US01099,1000.0,20733,0,0,0,0,20733,4035,16698,0.0,0.0,0.0
0500000US01101,25.0,0,0,5684,220801,226485,226485,201973,24512,1.0,1.0,1.0
0500000US01101,100.0,5698,25945,88456,106386,220787,226485,201973,24512,0.974841600989028,0.9956677377669293,0.803239229765013
0500000US01101,250.0,7727,25202,114137,79419,218758,226485,201973,24512,0.9658829503057598,0.9956677377669293,0.7204634464751958
0500000US01101,1000.0,142826,73987,9672,0,83659,226485,201973,24512,0.36937987063160915,0.3921860842785917,0.1814621409921671
0500000US01103,25.0,0,1,9966,109709,119676,119676,73160,46516,1.0,1.0,1.0
0500000US01103,100.0,11736,45842,45446,16652,107940,119676,73160,46516,0.901935225107791,0.9972115910333516,0.7520853039814257
0500000US01103,250.0,12172,68043,29574,9887,107504,119676,73160,46516,0.8982920552157492,0.9972115910333516,0.7427121850546049
0500000US01103,1000.0,96807,22869,0,0,22869,119676,73160,46516,0.19109094555299308,0.2735101148168398,0.06146272250408462
0500000US01109,25.0,0,0,2471,30643,33114,33114,15319,17795,1.0,1.0,1.0
0500000US01109,100.0,2577,29693,844,0,30537,33114,15319,17795,0.9221779307845624,0.9972583066779815,0.8575442540039336
0500000US01109,250.0,2903,30211,0,0,30211,33114,15319,17795,0.9123331521410883,0.9972583066779815,0.8392245012644001
0500000US01109,1000.0,2903,30211,0,0,30211,33114,15319,17795,0.9123331521410883,0.9972583066779815,0.8392245012644001
0500000US01111,250.0,12552,7263,2907,0,10170,22722,4120,18602,0.4475838394507526,1.0,0.3252338458230298
0500000US01111,1000.0,22722,0,0,0,0,22722,4120,18602,0.0,0.0,0.0
0500000US01113,25.0,0,0,6207,51754,57961,57961,35282,22679,1.0,1.0,1.0
0500000US01113,100.0,40618,17343,0,0,17343,57961,35282,22679,0.2992184399855075,0.3697919619069214,0.18942634154945104
0500000US01113,250.0,46183,11778,0,0,11778,57961,35282,22679,0.20320560376805094,0.24411881412618333,0.13955641783147404
0500000US01113,1000.0,46738,11223,0,0,11223,57961,35282,22679,0.19363019961698383,0.23150615044498613,0.13470611578993782
0500000US01115,25.0,0,2,9832,79677,89511,89511,23810,65701,1.0,1.0,1.0
0500000US01115,100.0,22024,35990,29276,2221,67487,89511,23810,65701,0.753952028242339,0.7921041579168416,0.7401257210696945
0500000US01115,250.0,45348,29784,14379,0,44163,89511,23810,65701,0.493380701813185,0.5414111717765645,0.47597449049481744
0500000US01115,1000.0,73286,16225,0,0,16225,89511,23810,65701,0.18126263811151702,0.21965560688786223,0.16734905100378988
0500000US01117,25.0,0,4,9892,207802,217698,217698,162024,55674,1.0,1.0,1.0
0500000US01117,100.0,17848,80677,117682,1491,199850,217698,162024,55674,0.9180148646289814,0.9905692983755493,0.7068649638969716
0500000US01117,250.0,22412,136793,58493,0,195286,217698,162024,55674,0.8970500418010271,0.9868414555868267,0.6357366095484427
0500000US01117,1000.0,156246,61452,0,0,61452,217698,162024,55674,0.28228095802441916,0.31236730360934184,0.19472285088191973
0500000US01121,25.0,0,1,15023,64954,79978,79978,34686,45292,1.0,1.0,1.0
0500000US01121,100.0,19432,50755,9479,312,60546,79978,34686,45292,0.7570331841256346,0.9985296661477253,0.5720877859224587
0500000US01121,250.0,21684,50886,7366,42,58294,79978,34686,45292,0.7288754407462052,0.9985296661477253,0.5223659807471518
0500000US01121,1000.0,72389,7547,42,0,7589,79978,34686,45292,0.09488859436344994,0.15441388456437755,0.04930230504283317
0500000US01123,25.0,0,0,3356,37011,40367,40367,10411,29956,1.0,1.0,1.0
0500000US01123,100.0,3561,35474,1332,0,36806,40367,10411,29956,0.911784378328833,0.9996157909902987,0.8812591801308586
0500000US01123,250.0,3619,35854,894,0,36748,40367,10411,29956,0.9103475611266628,0.9996157909902987,0.8793230070770464
0500000US01123,1000.0,39471,896,0,0,896,40367,10411,29956,0.02219634850248966,0.0694457785035059,0.005775136867405528
0500000US01125,25.0,0,0,16160,193195,209355,209355,152866,56489,1.0,1.0,1.0
0500000US01125,100.0,18426,90832,87957,12140,190929,209355,152866,56489,0.9119868166511428,0.9551371789672001,0.7952167678663102
0500000US01125,250.0,19228,134960,50003,5164,190127,209355,152866,56489,0.9081560029614769,0.9531288841207332,0.7864539998937846
0500000US01125,1000.0,162395,46091,869,0,46960,209355,152866,56489,0.2243079935993886,0.2697918438370861,0.10122324700384146
0500000US01127,25.0,0,0,14454,49067,63521,63521,16256,47265,1.0,1.0,1.0
0500000US01127,100.0,16293,33268,13960,0,47228,63521,16256,47265,0.7435021488956408,0.9982775590551181,0.6558764413413731
0500000US01127,250.0,16532,45820,1169,0,46989,63521,16256,47265,0.7397396136710694,0.9981545275590551,0.6508621601607956
0500000US01127,1000.0,62239,1282,0,0,1282,63521,16256,47265,0.020182301915901826,0.017101377952755906,0.02124193377763673
0500000US01133,25.0,0,0,8808,14821,23629,23629,3460,20169,1.0,1.0,1.0
0500000US01133,100.0,14494,8562,573,0,9135,23629,3460,20169,0.386601210377079,0.996242774566474,0.2820169567157519
0500000US01133,250.0,15404,8225,0,0,8225,23629,3460,20169,0.3480892124084811,0.996242774566474,0.23689821012444842
0500000US01133,1000.0,17098,6531,0,0,6531,23629,3460,20169,0.276397646959245,0.996242774566474,0.1529079280083296
0500000US02020,25.0,0,0,891,287109,288000,288000,275119,12881,1.0,1.0,1.0
0500000US02020,100.0,4268,276165,7475,92,283732,288000,275119,12881,0.9851805555555555,0.9942897437109033,0.7906218461299589
0500000US02020,250.0,4268,276780,6952,0,283732,288000,275119,12881,0.9851805555555555,0.9942897437109033,0.7906218461299589
0500000US02020,1000.0,282595,5405,0,0,5405,288000,275119,12881,0.01876736111111111,0.016491045692954686,0.0673860725098983
0500000US02050,10.0,493,16749,1144,0,17893,18386,4597,13789,0.973186119873817,1.0,0.9642468634418739
0500000US02050,25.0,18381,5,0,0,5,18386,4597,13789,0.00027194604590449257,0.0,0.0003626078758430633
0500000US02050,100.0,18386,0,0,0,0,18386,4597,13789,0.0,0.0,0.0
0500000US02050,250.0,18386,0,0,0,0,18386,4597,13789,0.0,0.0,0.0
0500000US02050,1000.0,18386,0,0,0,0,18386,4597,13789,0.0,0.0,0.0
0500000US02090,0.2,0,620,5041,91188,96849,96849,66924,29925,1.0,1.0,1.0
0500000US02090,4.0,744,7827,43581,44697,96105,96849,66924,29925,0.9923179382337454,0.9993873647719802,0.9765079365079365
0500000US02090,10.0,7290,35893,53666,0,89559,96849,66924,29925,0.9247281851129078,0.9899438168668938,0.7788805346700084
0500000US02090,25.0,10072,63237,23540,0,86777,96849,66924,29925,0.8960030563041436,0.9837875799414261,0.6996825396825397
0500000US02090,100.0,13234,83598,17,0,83615,96849,66924,29925,0.8633542937975611,0.9818450779989242,0.5983625730994152
0500000US02090,250.0,13234,83598,17,0,83615,96849,66924,29925,0.8633542937975611,0.9818450779989242,0.5983625730994152
0500000US02090,1000.0,96849,0,0,0,0,96849,66924,29925,0.0,0.0,0.0
0500000US02110,25.0,0,0,232,31742,31974,31974,25063,6911,1.0,1.0,1.0
0500000US02110,100.0,241,31728,5,0,31733,31974,25063,6911,0.9924626258835304,0.9996808043729801,0.9662856316017943
0500000US02110,250.0,241,31728,5,0,31733,31974,25063,6911,0.9924626258835304,0.9996808043729801,0.9662856316017943
0500000US02110,1000.0,31974,0,0,0,0,31974,25063,6911,0.0,0.0,0.0
0500000US02122,100.0,2699,17521,32560,5928,56009,58708,11751,46957,0.9540267084554064,1.0,0.942521881721575
0500000US02122,250.0,12310,40470,5928,0,46398,58708,11751,46957,0.7903181849151734,0.9880861203301846,0.7408267138019891
0500000US02122,1000.0,58708,0,0,0,0,58708,11751,46957,0.0,0.0,0.0
