geo_id,broadband_tech,urban_rural,tribal_non,dl_speed,has_0,has_1,has_2,has_3more,total_pop
0500000US06091,ADSL,U,N,0.2,9,0,0,0,9
0500000US06093,ADSL,R,N,0.2,13162,14576,1529,0,29267
0500000US06093,ADSL,R,T,0.2,124,252,0,0,376
0500000US06093,ADSL,U,N,0.2,781,12878,0,0,13659
0500000US06093,ADSL,U,T,0.2,16,221,0,0,237
0500000US06095,ADSL,R,N,0.2,13803,12691,19,0,26513
0500000US06095,ADSL,U,N,0.2,19312,379548,22268,0,421128
0500000US06097,ADSL,R,N,0.2,17890,37702,12712,0,68304
0500000US06097,ADSL,R,T,0.2,79,0,0,0,79
0500000US06097,ADSL,U,N,0.2,9431,242896,172984,642,425953
0500000US06099,ADSL,R,N,0.2,19704,26950,141,0,46795
0500000US06099,ADSL,U,N,0.2,11084,492781,0,0,503865
0500000US06101,ADSL,R,N,0.2,5751,9632,0,0,15383
0500000US06101,ADSL,U,N,0.2,1588,79879,121,0,81588
0500000US06103,ADSL,R,N,0.2,20147,14141,0,0,34288
0500000US06103,ADSL,R,T,0.2,2,0,0,0,2
0500000US06103,ADSL,U,N,0.2,1669,29125,0,0,30794
0500000US06105,ADSL,R,N,0.2,8341,3944,0,0,12285
0500000US06105,ADSL,R,T,0.2,0,0,0,0,0
0500000US06107,ADSL,R,N,0.2,38396,39404,559,0,78359
0500000US06107,ADSL,R,T,0.2,879,314,0,0,1193
0500000US06107,ADSL,U,N,0.2,33023,353612,6,0,386641
0500000US06109,ADSL,R,N,0.2,13406,12333,1074,0,26813
0500000US06109,ADSL,R,T,0.2,2,187,0,0,189
0500000US06109,ADSL,U,N,0.2,10468,17008,0,0,27476
0500000US06111,ADSL,R,N,0.2,9116,23644,219,0,32979
0500000US06111,ADSL,U,N,0.2,34356,774130,4541,0,813027
0500000US06113,ADSL,R,N,0.2,9727,10002,558,0,20287
0500000US06113,ADSL,R,T,0.2,6,99,0,0,105
0500000US06113,ADSL,U,N,0.2,9030,145248,45181,649,200108
0500000US06115,ADSL,R,N,0.2,13577,10023,0,0,23600
0500000US06115,ADSL,U,N,0.2,580,54488,0,0,55068
0500000US06001,Cable,R,N,0.2,7190,6434,0,0,13624
0500000US06001,Cable,U,N,0.2,67696,1585701,4308,0,1657705
0500000US06003,Cable,R,N,0.2,914,48,0,0,962
0500000US06003,Cable,R,T,0.2,167,0,0,0,167
0500000US06005,Cable,R,N,0.2,17766,6921,283,0,24970
0500000US06005,Cable,R,T,0.2,5,8,0,0,13
0500000US06005,Cable,U,N,0.2,106,14662,0,0,14768
0500000US06007,Cable,R,N,0.2,27085,19554,0,0,46639
0500000US06007,Cable,R,T,0.2,13,39,0,0,52
0500000US06007,Cable,U,N,0.2,1598,167493,2,0,169093
0500000US06007,Cable,U,T,0.2,11,3391,0,0,3402
0500000US06009,Cable,R,N,0.2,16859,18001,0,0,34860
0500000US06009,Cable,U,N,0.2,249,10796,0,0,11045
0500000US06011,Cable,R,N,0.2,6720,366,0,0,7086
0500000US06011,Cable,R,T,0.2,99,0,0,0,99
0500000US06011,Cable,U,N,0.2,7613,6749,0,0,14362
0500000US06013,Cable,R,N,0.2,12856,7123,7,0,19986
0500000US06013,Cable,U,N,0.2,22071,845460,266003,0,1133534
0500000US06013,Cable,U,T,0.2,2,0,0,0,2
0500000US06015,Cable,R,N,0.2,942,7440,0,0,8382
0500000US06015,Cable,R,T,0.2,861,135,0,0,996
0500000US06015,Cable,U,N,0.2,17,18331,0,0,18348
0500000US06015,Cable,U,T,0.2,0,86,0,0,86
0500000US06017,Cable,R,N,0.2,43951,26176,0,0,70127
0500000US06017,Cable,R,T,0.2,109,0,0,0,109
0500000US06017,Cable,U,N,0.2,2602,119772,231,0,122605
0500000US06019,Cable,R,N,0.2,113843,17548,0,0,131391
0500000US06019,Cable,R,T,0.2,441,0,0,0,441
0500000US06019,Cable,U,N,0.2,43168,824094,0,0,867262
0500000US06021,Cable,R,N,0.2,8182,3534,0,0,11716
0500000US06021,Cable,R,T,0.2,165,0,0,0,165
0500000US06021,Cable,U,N,0.2,1509,15003,0,0,16512
0500000US06023,Cable,R,N,0.2,16863,20436,293,0,37592
0500000US06023,Cable,R,T,0.2,3953,98,0,0,4051
0500000US06023,Cable,U,N,0.2,3523,90084,226,0,93833
0500000US06023,Cable,U,T,0.2,13,69,0,0,82
0500000US06025,Cable,R,N,0.2,22542,11553,195,0,34290
0500000US06025,Cable,R,T,0.2,1553,444,0,0,1997
0500000US06025,Cable,U,N,0.2,2285,141873,227,0,144385
0500000US06025,Cable,U,T,0.2,465,52,26,0,543
0500000US06027,Cable,R,N,0.2,2545,4704,364,0,7613
0500000US06027,Cable,R,T,0.2,194,629,0,0,823
0500000US06027,Cable,U,N,0.2,112,7485,495,0,8092
0500000US06027,Cable,U,T,0.2,70,1441,0,0,1511
0500000US06029,Cable,R,N,0.2,86299,41828,764,0,128891
0500000US06029,Cable,U,N,0.2,21577,744354,5375,0,771306
0500000US06031,Cable,R,N,0.2,12796,5072,0,0,17868
0500000US06031,Cable,R,T,0.2,668,0,0,0,668
0500000US06031,Cable,U,N,0.2,22169,111849,375,0,134393
0500000US06033,Cable,R,N,0.2,6809,14706,66,0,21581
0500000US06033,Cable,R,T,0.2,163,212,0,0,375
0500000US06033,Cable,U,N,0.2,702,41547,0,0,42249
0500000US06033,Cable,U,T,0.2,0,181,0,0,181
0500000US06035,Cable,R,N,0.2,14186,5873,0,0,20059
0500000US06035,Cable,R,T,0.2,237,153,0,0,390
0500000US06035,Cable,U,N,0.2,682,9283,0,0,9965
0500000US06035,Cable,U,T,0.2,26,133,0,0,159
0500000US06037,Cable,R,N,0.2,42023,48345,743,0,91111
0500000US06037,Cable,U,N,0.2,19525,9797325,129570,1576,9947996
0500000US06039,Cable,R,N,0.2,36644,17631,548,0,54823
0500000US06039,Cable,R,T,0.2,142,0,0,0,142
0500000US06039,Cable,U,N,0.2,2967,99395,0,0,102362
0500000US06041,Cable,R,N,0.2,6005,11844,0,0,17849
0500000US06041,Cable,U,N,0.2,6794,232021,2162,0,240977
0500000US06043,Cable,R,N,0.2,17044,159,0,0,17203
0500000US06045,Cable,R,N,0.2,20873,18204,0,0,39077
0500000US06045,Cable,R,T,0.2,768,253,0,0,1021
0500000US06045,Cable,U,N,0.2,1620,44444,0,0,46064
0500000US06045,Cable,U,T,0.2,143,444,0,0,587
0500000US06047,Cable,R,N,0.2,40755,7522,0,0,48277
0500000US06047,Cable,U,N,0.2,17611,211628,161,0,229400
0500000US06049,Cable,R,N,0.2,6075,77,0,0,6152
0500000US06049,Cable,R,T,0.2,153,0,0,0,153
0500000US06049,Cable,U,N,0.2,2521,15,0,0,2536
0500000US06051,Cable,R,N,0.2,5625,1162,240,0,7027
0500000US06051,Cable,R,T,0.2,122,0,0,0,122
0500000US06051,Cable,U,N,0.2,646,6532,117,0,7295
0500000US06053,Cable,R,N,0.2,30036,21617,1883,0,53536
0500000US06053,Cable,U,N,0.2,18470,356146,5909,0,380525
0500000US06055,Cable,R,N,0.2,8676,10830,61,0,19567
